,length,avg_sentence_length,type_token_ratio,flesch_score,vocab_richness,num_special_chars,entropy,sentiment,named_entities,repetition,avg_token_probability,perplexity_scaled
42,475,19.75,0.7964601769911505,29.669082278481028,0.18947368421052632,8,2.2117894,0.01892396694214876,3,0,3.1249987e-05,1297989.9446436763
43,537,30.333333333333332,0.7798165137614679,-21.261868131868127,0.15828677839851024,4,2.253402,0.07174744897959183,7,0,3.1249976e-05,288354.17538689286
44,494,25.666666666666668,0.8623853211009175,-26.236883116883092,0.1902834008097166,6,2.1043406,1.5518824609733703e-05,4,0,3.1249994e-05,1351968.9023818946
45,481,27.666666666666668,0.8205128205128205,-14.389285714285705,0.1995841995841996,8,2.2730622,0.006860524436282013,9,0,3.1249987e-05,445700.69636206544
46,460,12.833333333333334,0.7421875,53.25469155844158,0.20652173913043478,12,1.9937744,0.0008801975308641975,10,1,3.1249994e-05,448934.9494200059
47,464,18.5,0.743801652892562,19.515135135135154,0.1939655172413793,7,1.9870079,0.002222222222222223,8,0,3.125001e-05,1170322.9226341315
48,553,15.333333333333334,0.6737588652482269,38.59754032258067,0.1717902350813743,11,1.7585791,0.039999999999999994,13,0,3.1250027e-05,276613.0387774845
49,523,21.5,0.8029197080291971,28.42023255813956,0.21032504780114722,10,1.3742787,0.050555555555555555,21,0,3.1249994e-05,2219252.119881006
50,476,20.75,0.6518518518518519,41.33357142857146,0.18487394957983194,12,1.6898017,0.0146159122085048,18,2,3.125e-05,321004.86220732774
51,544,28.333333333333332,0.7478991596638656,-23.75764705882351,0.1636029411764706,12,2.1035268,0.0027188775510204074,14,2,3.125001e-05,390544.1962246461
52,453,14.6,0.808695652173913,33.79694063926945,0.2052980132450331,8,1.9364543,0.015857974374645693,7,0,3.124999e-05,756020.5328962923
53,478,18.5,0.732824427480916,19.515135135135154,0.200836820083682,6,1.2492261,0.02932098765432099,13,0,3.1249994e-05,2907686.9090963714
54,533,18.6,0.7619047619047619,50.7441935483871,0.2101313320825516,15,2.6293468,0.03282678580213077,7,0,3.1249987e-05,160407.32302635242
55,527,17.4,0.8174603174603174,41.262068965517244,0.1954459203036053,9,2.0011258,0.027552083333333338,7,0,3.1249987e-05,1261601.6034975564
56,534,15.333333333333334,0.7279411764705882,51.9921739130435,0.1853932584269663,10,1.7730047,0.011916277777777777,12,0,3.124998e-05,415787.3555225683
57,467,24.0,0.8172043010752689,-28.39500000000001,0.16274089935760172,5,2.1218276,0.0025000000000000005,8,0,3.1249987e-05,584381.0458904485
58,474,18.25,0.8113207547169812,20.28886986301373,0.18143459915611815,10,2.260479,0.0027932098765432096,5,0,3.125e-05,415356.8821546751
59,500,21.75,0.7578125,32.37905172413795,0.194,6,1.9825715,0.16991126543209875,7,0,3.124999e-05,481631.0512201791
60,519,28.666666666666668,0.7720588235294118,-14.241046511627871,0.2023121387283237,9,1.6347704,0.001659807956104252,10,0,3.1249998e-05,763381.2994125279
61,513,18.0,0.744,47.60500000000005,0.18128654970760233,7,2.109169,0.015683291724058766,13,0,3.125001e-05,432547.5791711599
62,534,16.6,0.7307692307692307,29.938875502008045,0.17790262172284643,13,1.9676102,0.055624999999999994,8,0,3.125001e-05,432635.03035691957
63,513,21.25,0.7166666666666667,41.721372549019634,0.16764132553606237,8,1.9477422,0.062222222222222234,11,0,3.124999e-05,210183.03799189918
64,512,9.25,0.5277777777777778,-5.546795774647848,0.185546875,35,1.1202538,0.0,19,1,3.1250012e-05,910892.5066893217
65,489,10.125,0.6929133858267716,48.890000000000015,0.17995910020449898,14,1.656546,0.023333333333333334,13,0,3.1249987e-05,306392.3600676132
66,487,20.0,0.6861313868613139,38.06333333333336,0.19301848049281314,13,1.7029071,0.03597222222222222,13,0,3.1250005e-05,261271.8628490596
67,497,21.25,0.7333333333333333,24.35632352941181,0.17706237424547283,7,1.8629373,0.00125,12,1,3.1249994e-05,333237.0086451203
68,524,14.0,0.726027397260274,61.110357142857154,0.20229007633587787,13,1.77633,0.08508611111111111,11,0,3.1250005e-05,308730.8979897164
69,536,22.0,0.722972972972973,27.516982758620713,0.19962686567164178,10,2.0446754,0.019842302707893746,10,0,3.1249994e-05,596541.2903299181
70,502,21.0,0.7619047619047619,21.190714285714307,0.19123505976095617,10,1.9930704,0.01802469135802469,15,0,3.1249998e-05,230668.4176983841
71,508,20.5,0.8151260504201681,24.907804878048836,0.19094488188976377,12,1.9546692,0.014385235575711764,8,0,3.124999e-05,908175.6207886118
72,563,17.8,0.6616541353383458,23.682883895131113,0.15630550621669628,9,2.0134292,0.03157552083333333,7,0,3.124999e-05,975949.5144268079
73,473,12.0,0.6363636363636364,38.3052777777778,0.16279069767441862,13,1.685722,0.012098765432098764,8,0,3.1249998e-05,202863.35160004793
74,563,28.333333333333332,0.7247706422018348,-43.663529411764685,0.14031971580817051,4,2.3034697,0.001467785461291955,7,0,3.125e-05,692855.9884960192
75,550,27.666666666666668,0.7380952380952381,-37.436506024096346,0.1690909090909091,13,2.2351146,0.0011314049586776855,10,0,3.125001e-05,421411.1458586623
76,500,26.333333333333332,0.7142857142857143,-33.98291139240503,0.15,7,1.9998674,0.0008163265306122453,11,0,3.125e-05,552782.8302339044
77,557,23.75,0.738562091503268,27.689999999999998,0.20287253141831238,12,1.5532769,0.010466666666666668,11,0,3.124998e-05,864181.4056806006
78,533,21.0,0.8032786885245902,7.090714285714313,0.18386491557223264,8,1.9430121,0.021666666666666667,10,0,3.1249994e-05,858692.2926954218
79,544,21.25,0.8130081300813008,10.422205882352984,0.18382352941176472,7,1.8966682,0.001200005101520253,12,0,3.1249987e-05,608188.9695231015
80,489,19.75,0.8067226890756303,35.023512658227844,0.19631901840490798,8,2.246714,0.003152835169880625,5,0,3.1250005e-05,760088.6785984206
81,542,17.2,0.7235772357723578,31.163914728682187,0.16420664206642066,11,2.0844479,0.04236689814814814,9,0,3.125e-05,408264.23326489184
82,550,22.0,0.8536585365853658,21.815909090909116,0.19090909090909092,9,2.1001744,0.01501543209876543,5,0,3.1249983e-05,1571503.8472908337
83,485,20.0,0.7916666666666666,-21.13227848101262,0.1958762886597938,10,1.7919695,0.006944444444444444,8,0,3.125e-05,672475.8220395099
84,476,21.0,0.712,-3.8003614457830963,0.1869747899159664,11,1.7492563,0.00017777777777777822,14,0,3.1249998e-05,308895.5996603077
85,491,26.333333333333332,0.8333333333333334,-18.184999999999974,0.18329938900203666,4,2.241799,0.014266975308641976,9,0,3.125001e-05,751458.7274125849
86,482,13.166666666666666,0.75,56.14064873417723,0.18672199170124482,10,1.6566931,0.03751111111111112,10,0,3.1249983e-05,495312.0268690569
87,507,19.75,0.7966101694915254,15.747563291139272,0.1854043392504931,7,2.1244657,0.07188368055555555,8,0,3.1249998e-05,1119682.3144944287
88,459,26.666666666666668,0.8070175438596491,0.0,0.20043572984749455,7,1.7164357,0.0,11,0,3.124999e-05,853397.4779080027
89,515,28.333333333333332,0.751937984496124,-21.767058823529382,0.1883495145631068,11,2.1482253,0.04694444444444445,10,0,3.124999e-05,559033.8084509067
90,488,9.75,0.768,50.63157894736844,0.19672131147540983,14,2.1273634,0.17032561983471073,12,0,3.125e-05,502032.7536462974
91,549,27.333333333333332,0.743801652892562,-32.182804878048756,0.16393442622950818,6,2.0904326,0.0092984693877551,12,0,3.1249994e-05,466465.91289206734
92,480,24.666666666666668,0.8095238095238095,-23.75608108108105,0.17708333333333334,4,2.1237066,8.264462809917361e-05,12,0,3.1249994e-05,980149.5688722637
93,476,10.125,0.7142857142857143,69.88805555555558,0.19957983193277312,14,2.360174,0.08636041406358462,7,0,3.1250005e-05,1256483.6002056042
94,459,26.666666666666668,0.6642335766423357,-6.552499999999981,0.19825708061002179,8,1.4379567,0.003402777777777777,14,0,3.1250005e-05,317741.77792096493
95,500,20.25,0.7419354838709677,15.327500000000043,0.184,11,1.7204379,0.07388888888888889,9,0,3.1249998e-05,996849.2269483841
96,476,21.0,0.7982456140350878,37.29514705882356,0.19117647058823528,8,2.113348,0.015784572187928673,12,0,3.125001e-05,340328.0139663673
97,510,20.75,0.8166666666666667,12.840210843373512,0.19215686274509805,11,1.7573704,0.019976044816074578,9,0,3.1250005e-05,594369.2667104949
98,544,21.0,0.7350427350427351,-26.224457831325267,0.15808823529411764,6,2.0934272,0.0010427517361111117,12,2,3.1249976e-05,703474.3911514307
99,483,16.4,0.7107438016528925,27.860833333333375,0.17805383022774326,8,1.6843132,0.01020408163265306,10,0,3.1249987e-05,371144.95282842737
100,515,20.75,0.6976744186046512,23.032981927710864,0.17475728155339806,9,1.7934786,0.003490119804222368,8,1,3.1249994e-05,890185.3773269358
101,519,22.0,0.8362068965517241,22.77727272727276,0.18689788053949905,4,2.1995904,0.005617283950617283,8,0,3.125e-05,856116.3010875105
102,475,11.428571428571429,0.7217391304347827,43.033248945147704,0.17473684210526316,17,1.8967723,0.0025000000000000005,10,0,3.124999e-05,131467.25307576684
103,541,11.375,0.6089743589743589,51.9902838827839,0.1756007393715342,19,1.717347,0.051020408163265314,8,2,3.1250012e-05,241175.8992735314
104,560,20.2,0.6714285714285714,44.506897689769005,0.16785714285714284,11,1.5398612,0.016163911845730027,8,1,3.1249987e-05,275760.42773083533
105,553,19.0,0.6622516556291391,36.66175438596491,0.18083182640144665,14,1.6518207,0.06749999999999999,16,0,3.125e-05,716118.1325607013
106,560,15.666666666666666,0.7591240875912408,53.38250000000002,0.18571428571428572,8,2.219121,0.017781249999999995,12,0,3.1249994e-05,306387.8674369762
107,511,14.666666666666666,0.7096774193548387,48.32091292134834,0.17221135029354206,9,2.2904742,0.016844444444444447,9,0,3.1249994e-05,513072.7034058048
108,510,25.0,0.7777777777777778,-30.593999999999966,0.1784313725490196,9,1.7075016,0.0,10,0,3.1250005e-05,879832.0270766533
109,522,27.0,0.7583333333333333,-26.82444444444441,0.1743295019157088,9,2.016127,0.01625625,9,0,3.124999e-05,332928.6792212583
110,507,11.0,0.5060975609756098,56.92572413793104,0.16370808678500987,15,1.4407352,0.015082341725334151,15,3,3.1249998e-05,306428.67501117353
111,490,16.8,0.68,45.4721428571429,0.17346938775510204,9,2.01602,0.01520833333333333,8,0,3.1249994e-05,762020.5898719496
112,496,26.0,0.8521739130434782,-7.9119230769230455,0.1975806451612903,7,1.9103973,0.0011111111111111096,6,0,3.1249994e-05,3169855.562083607
113,563,32.333333333333336,0.7658227848101266,0.0,0.21492007104795738,8,1.8433208,0.0,12,1,3.1249983e-05,1393843.4622491025
114,551,28.333333333333332,0.752,-34.705882352941146,0.1705989110707804,11,1.8880994,0.012522675736961449,8,0,3.1249994e-05,1055377.8418995128
115,562,12.375,0.7769784172661871,64.35732653061226,0.19217081850533807,15,2.4990568,0.0420138888888889,9,0,3.124998e-05,482005.49568586104
116,532,8.083333333333334,0.7876712328767124,76.34187500000003,0.2161654135338346,17,2.0829117,0.1380246913580247,8,0,3.125e-05,893917.7057147388
117,501,27.333333333333332,0.7372881355932204,-13.61207317073169,0.17365269461077845,6,2.5344236,0.010788779053287982,11,0,3.1249998e-05,209430.3241581562
118,479,17.2,0.7413793103448276,55.75693798449615,0.17954070981210857,6,2.2170303,0.007089120370370373,5,0,3.1250005e-05,486023.3537473894
119,459,24.666666666666668,0.7767857142857143,-21.469594594594554,0.1895424836601307,6,1.850741,0.0003515625000000001,9,0,3.1250012e-05,567226.3700900864
120,451,18.5,0.7596153846153846,31.156500000000023,0.17516629711751663,10,1.9899234,0.005358796296296298,6,0,3.1249998e-05,700098.2598089383
121,453,19.0,0.7391304347826086,28.00710526315791,0.18763796909492272,9,1.9263104,0.0005555555555555557,19,0,3.125e-05,867711.346245431
122,480,17.4,0.7540983606557377,44.15976744186047,0.19166666666666668,9,2.0165107,0.004920713655832704,8,1,3.1249976e-05,832411.0411228857
123,565,29.666666666666668,0.7481481481481481,-34.63932584269661,0.17876106194690267,5,2.081097,0.05885116598079561,6,0,3.1249987e-05,1061539.364715334
124,567,14.142857142857142,0.7410071942446043,55.06750000000001,0.18165784832451498,13,2.1757965,0.015114416896235074,9,0,3.1249983e-05,432229.38298309094
125,482,21.75,0.7657657657657657,29.461810344827597,0.17634854771784234,7,2.3976939,0.06491126543209876,7,0,3.125e-05,444805.2253909747
126,470,18.5,0.8080808080808081,5.796216216216237,0.1702127659574468,8,2.12799,0.02182469135802469,10,0,3.125001e-05,334028.889579306
127,454,23.666666666666668,0.8348623853211009,-16.556760563380266,0.20044052863436124,5,1.8732132,0.010850694444444444,13,0,3.1249998e-05,1043397.1373323604
128,539,28.666666666666668,0.7557251908396947,-29.98058139534882,0.1836734693877551,6,1.9428276,0.004433868732678256,10,0,3.1250005e-05,792605.671194549
129,501,15.6,0.7222222222222222,9.544512987013036,0.18163672654690619,13,1.777353,0.04875000000000001,13,0,3.1250005e-05,500846.9133148708
130,491,7.777777777777778,0.5099337748344371,13.057630597014963,0.15682281059063136,28,1.300718,0.0,19,2,3.124998e-05,871889.8573043824
131,466,24.666666666666668,0.6987179487179487,-7.750675675675637,0.23390557939914164,21,1.0252607,0.0003515625000000001,17,0,3.124999e-05,1506329.8269562218
132,536,17.8,0.6854838709677419,18.931818181818215,0.15858208955223882,9,2.1099436,0.003691460055096419,10,0,3.1250005e-05,287316.10311473435
133,498,22.75,0.676923076923077,37.9360164835165,0.17670682730923695,3,1.9398363,0.042222222222222223,10,1,3.1249994e-05,878261.6839434319
134,521,17.6,0.7578125,54.00712121212122,0.18618042226487524,7,2.242322,0.016875,13,0,3.124999e-05,400317.5892001876
135,527,17.4,0.8174603174603174,41.262068965517244,0.1954459203036053,9,2.0011258,0.027552083333333338,7,0,3.1249987e-05,1261601.6034975564
136,506,11.285714285714286,0.6861313868613139,31.35995670995672,0.1857707509881423,19,1.8481138,0.0053124999999999995,11,0,3.124999e-05,755278.7975657284
137,514,17.2,0.696551724137931,33.31397058823532,0.19649805447470817,9,1.8026662,0.003755555555555556,10,0,3.125e-05,1058576.1185943189
138,555,18.2,0.753731343283582,24.51040293040296,0.18198198198198198,9,1.7573552,0.0013253936440637435,8,0,3.125e-05,578152.5809918514
139,479,25.0,0.7962962962962963,-13.902368421052614,0.17954070981210857,9,2.0179374,0.003828515625,9,0,3.1249994e-05,907000.4881380275
140,536,23.25,0.6940298507462687,-11.605869565217361,0.17350746268656717,12,2.0628352,0.007559336419753084,8,0,3.125e-05,497570.73030097905
141,532,17.6,0.7352941176470589,34.779848484848486,0.18796992481203006,8,1.9639336,0.1285546875,10,0,3.125001e-05,462141.9941173426
142,554,18.0,0.7938931297709924,28.805000000000035,0.18772563176895307,9,2.1816657,0.009033564814814814,7,0,3.1249994e-05,724895.059712613
143,548,18.6,0.6307692307692307,33.46032258064517,0.14963503649635038,10,1.783393,0.016109245867768598,13,0,3.1249998e-05,305901.92398270126
144,529,21.5,0.7674418604651163,27.43651162790698,0.18714555765595464,12,2.1387258,0.0332830391109612,11,0,3.1250016e-05,466770.69675183494
145,506,20.25,0.743801652892562,20.549722222222243,0.17786561264822134,11,2.1338012,0.05749638310185185,10,1,3.124999e-05,297564.2935763369
146,467,18.5,0.825,-20.235342465753405,0.21199143468950749,9,2.2834816,0.0981777777777778,6,0,3.1249983e-05,585540.8840142526
147,513,26.333333333333332,0.7761194029850746,-23.472499999999968,0.20272904483430798,12,1.6438603,0.0225,7,0,3.1250005e-05,1997526.891202531
148,474,21.0,0.8181818181818182,30.32808823529416,0.189873417721519,5,1.7676543,0.000712353299801859,9,0,3.1249998e-05,342189.655376917
149,540,29.333333333333332,0.7482014388489209,0.0,0.1925925925925926,10,1.7819902,0.0,9,0,3.1249998e-05,931352.2065660408
