Statistic,Value
Mean Perplexity,676553.3564414346
Median Perplexity,584403.6824814994
Standard Deviation,468304.35581379104
25th Percentile,320092.56131839694
50th Percentile (Median),584403.6824814994
75th Percentile,848228.6509501905
